code,eps_y_nm,D_y,R_pinch,n_y_req,sigma_log,c_y,kappa,sigma_kappa
GP++,1.0,97.3640511378073,4.968002306190556,132.66493152355466,0.3221358464638391,20.0,0.20986157648099696,0.06760393657994165
GP++,2.0,68.75216923874842,4.635573001951274,133.54817959007644,0.5340815949351884,20.0,0.24836017282477388,0.13264459722063426
GP++,4.0,48.52082680874171,4.307961702862504,115.86178030036692,0.6715627485215111,20.0,0.253376158400499,0.17015798934526086
GP++,8.0,34.21554775844742,3.9854241560680745,113.62270956706864,0.07158543388420786,20.0,0.29230306886260904,0.020924642010215357
GP++,12.0,27.87835762322576,3.799185723616484,90.85986852707343,0.5157301701610287,20.0,0.25710174392821783,0.13259512614479702
GP++,16.0,24.100805421447365,3.668169645813941,93.40383025926585,0.029816890076570516,20.0,0.2828148252558393,0.00843265855667786
GP++,20.0,21.522988796342663,3.567195582076701,90.12731130028916,0.1424385818771354,20.0,0.28763310874677633,0.04097005211080269
